NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                          MESSAGE
cdi           35m         Normal    Created                   pod/cdi-apiserver-7bfc8ff9c5-w4dxk                                    Created container cdi-apiserver
cdi           35m         Normal    Started                   pod/cdi-apiserver-7bfc8ff9c5-w4dxk                                    Started container cdi-apiserver
cdi           35m         Normal    Started                   pod/cdi-uploadproxy-f7547d9bd-mxr56                                   Started container cdi-uploadproxy
cdi           35m         Normal    Pulled                    pod/cdi-uploadproxy-f7547d9bd-mxr56                                   Successfully pulled image "quay.io/kubevirt/cdi-uploadproxy:v1.31.0"
cdi           35m         Normal    Created                   pod/cdi-uploadproxy-f7547d9bd-mxr56                                   Created container cdi-uploadproxy
cdi           35m         Normal    Pulling                   pod/cdi-deployment-7ddfcd78bd-tb2mw                                   Pulling image "quay.io/kubevirt/cdi-controller:v1.31.0"
kubevirt      34m         Warning   Unhealthy                 pod/virt-operator-854547ddc4-jnvtn                                    Readiness probe failed: Get https://10.244.196.134:8443/metrics: dial tcp 10.244.196.134:8443: connect: connection refused
cdi           34m         Normal    Created                   pod/cdi-deployment-7ddfcd78bd-tb2mw                                   Created container cdi-controller
cdi           34m         Normal    LeaderElection            configmap/cdi-controller-leader-election-helper                       cdi-deployment-7ddfcd78bd-tb2mw_e83ff142-a4ff-4a1d-a8e4-96159bde38c6 became leader
cdi           34m         Normal    Started                   pod/cdi-deployment-7ddfcd78bd-tb2mw                                   Started container cdi-controller
cdi           34m         Normal    Pulled                    pod/cdi-deployment-7ddfcd78bd-tb2mw                                   Successfully pulled image "quay.io/kubevirt/cdi-controller:v1.31.0"
kubevirt      34m         Warning   Unhealthy                 pod/virt-operator-854547ddc4-ctbxc                                    Readiness probe failed: Get https://10.244.140.69:8443/metrics: dial tcp 10.244.140.69:8443: connect: connection refused
kubevirt      34m         Normal    LeaderElection            endpoints/virt-operator                                               virt-operator-854547ddc4-jnvtn became leader
kubevirt      34m         Normal    SuccessfulCreate          job/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job2j6kc        Created pod: kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job2j6kch4ql6
kubevirt      34m         Normal    Scheduled                 pod/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job2j6kch4ql6   Successfully assigned kubevirt/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job2j6kch4ql6 to node02
kubevirt      34m         Normal    Created                   pod/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job2j6kch4ql6   Created container install-strategy-upload
kubevirt      34m         Normal    Started                   pod/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job2j6kch4ql6   Started container install-strategy-upload
kubevirt      34m         Normal    Pulled                    pod/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job2j6kch4ql6   Container image "registry:5000/kubevirt/virt-operator@sha256:7fda75c254f9db48da44c87603357b256fd3aa5d889cb192f482352e4dc5ffde" already present on machine
kubevirt      34m         Normal    Completed                 job/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job2j6kc        Job completed
kubevirt      34m         Normal    ScalingReplicaSet         deployment/virt-api                                                   Scaled up replica set virt-api-6747df4d4b to 2
kubevirt      34m         Normal    SuccessfulCreate          replicaset/virt-api-6747df4d4b                                        Created pod: virt-api-6747df4d4b-2qbvr
kubevirt      34m         Normal    SuccessfulCreate          replicaset/virt-api-6747df4d4b                                        Created pod: virt-api-6747df4d4b-4rmnm
kubevirt      34m         Normal    Scheduled                 pod/virt-api-6747df4d4b-4rmnm                                         Successfully assigned kubevirt/virt-api-6747df4d4b-4rmnm to node02
kubevirt      34m         Normal    Scheduled                 pod/virt-api-6747df4d4b-2qbvr                                         Successfully assigned kubevirt/virt-api-6747df4d4b-2qbvr to node01
kubevirt      34m         Normal    Pulled                    pod/virt-api-6747df4d4b-2qbvr                                         Container image "registry:5000/kubevirt/virt-api@sha256:efa8ed0e96179e6b2fb2b17ec740ea9abddce64a7ec1f17bd01a5121df4802ef" already present on machine
kubevirt      34m         Normal    Started                   pod/virt-api-6747df4d4b-4rmnm                                         Started container virt-api
kubevirt      34m         Normal    Created                   pod/virt-api-6747df4d4b-4rmnm                                         Created container virt-api
kubevirt      34m         Normal    Created                   pod/virt-api-6747df4d4b-2qbvr                                         Created container virt-api
kubevirt      34m         Normal    Started                   pod/virt-api-6747df4d4b-2qbvr                                         Started container virt-api
kubevirt      34m         Normal    Pulled                    pod/virt-api-6747df4d4b-4rmnm                                         Container image "registry:5000/kubevirt/virt-api@sha256:efa8ed0e96179e6b2fb2b17ec740ea9abddce64a7ec1f17bd01a5121df4802ef" already present on machine
kubevirt      34m         Normal    NoPods                    poddisruptionbudget/virt-controller-pdb                               No matching pods found
kubevirt      34m         Normal    SuccessfulCreate          replicaset/virt-controller-694b49b67d                                 Created pod: virt-controller-694b49b67d-t78qm
kubevirt      34m         Normal    SuccessfulCreate          replicaset/virt-controller-694b49b67d                                 Created pod: virt-controller-694b49b67d-pm8pd
kubevirt      34m         Normal    Scheduled                 pod/virt-controller-694b49b67d-pm8pd                                  Successfully assigned kubevirt/virt-controller-694b49b67d-pm8pd to node02
kubevirt      34m         Normal    Scheduled                 pod/virt-controller-694b49b67d-t78qm                                  Successfully assigned kubevirt/virt-controller-694b49b67d-t78qm to node01
kubevirt      34m         Normal    ScalingReplicaSet         deployment/virt-controller                                            Scaled up replica set virt-controller-694b49b67d to 2
kubevirt      34m         Normal    Scheduled                 pod/virt-handler-xvjwt                                                Successfully assigned kubevirt/virt-handler-xvjwt to node01
kubevirt      34m         Normal    SuccessfulCreate          daemonset/virt-handler                                                Created pod: virt-handler-xvjwt
kubevirt      34m         Normal    SuccessfulCreate          daemonset/virt-handler                                                Created pod: virt-handler-qkb7n
kubevirt      34m         Normal    Scheduled                 pod/virt-handler-qkb7n                                                Successfully assigned kubevirt/virt-handler-qkb7n to node02
kubevirt      34m         Normal    Pulled                    pod/virt-handler-qkb7n                                                Container image "registry:5000/kubevirt/virt-handler@sha256:efa653f6840f4c9d19f6918fe7e6b5e51ce17ea3dc94c98f2bc4e5d7baa4de40" already present on machine
kubevirt      34m         Normal    Created                   pod/virt-handler-qkb7n                                                Created container virt-handler
kubevirt      34m         Normal    Pulled                    pod/virt-controller-694b49b67d-pm8pd                                  Container image "registry:5000/kubevirt/virt-controller@sha256:8e2360c20f08c6f2276f56b2c110c2e79f4201cdcfc35ee37cd3de7e98f1f649" already present on machine
kubevirt      34m         Normal    Created                   pod/virt-controller-694b49b67d-pm8pd                                  Created container virt-controller
kubevirt      34m         Normal    Started                   pod/virt-handler-qkb7n                                                Started container virt-handler
kubevirt      34m         Normal    Started                   pod/virt-controller-694b49b67d-pm8pd                                  Started container virt-controller
kubevirt      34m         Normal    Pulled                    pod/virt-controller-694b49b67d-t78qm                                  Container image "registry:5000/kubevirt/virt-controller@sha256:8e2360c20f08c6f2276f56b2c110c2e79f4201cdcfc35ee37cd3de7e98f1f649" already present on machine
kubevirt      34m         Normal    Created                   pod/virt-controller-694b49b67d-t78qm                                  Created container virt-controller
kubevirt      34m         Normal    Pulled                    pod/virt-handler-xvjwt                                                Container image "registry:5000/kubevirt/virt-handler@sha256:efa653f6840f4c9d19f6918fe7e6b5e51ce17ea3dc94c98f2bc4e5d7baa4de40" already present on machine
kubevirt      34m         Normal    Started                   pod/virt-handler-xvjwt                                                Started container virt-handler
kubevirt      34m         Normal    Started                   pod/virt-controller-694b49b67d-t78qm                                  Started container virt-controller
kubevirt      34m         Normal    Created                   pod/virt-handler-xvjwt                                                Created container virt-handler
kubevirt      34m         Normal    LeaderElection            endpoints/virt-controller                                             virt-controller-694b49b67d-pm8pd became leader
kubevirt      32m         Warning   Unhealthy                 pod/virt-api-6747df4d4b-2qbvr                                         Readiness probe failed: Get https://10.244.196.135:8443/apis/subresources.kubevirt.io/v1/healthz: dial tcp 10.244.196.135:8443: connect: connection refused
kubevirt      32m         Normal    Killing                   pod/virt-handler-xvjwt                                                Stopping container virt-handler
kubevirt      32m         Normal    Killing                   pod/virt-api-6747df4d4b-4rmnm                                         Stopping container virt-api
kubevirt      32m         Normal    Killing                   pod/virt-handler-qkb7n                                                Stopping container virt-handler
kubevirt      32m         Normal    Killing                   pod/virt-controller-694b49b67d-t78qm                                  Stopping container virt-controller
kubevirt      32m         Normal    Killing                   pod/virt-api-6747df4d4b-2qbvr                                         Stopping container virt-api
kubevirt      32m         Normal    Killing                   pod/virt-controller-694b49b67d-pm8pd                                  Stopping container virt-controller
kubevirt      32m         Warning   Unhealthy                 pod/virt-controller-694b49b67d-t78qm                                  Readiness probe failed: Get https://10.244.196.136:8443/leader: dial tcp 10.244.196.136:8443: connect: invalid argument
kubevirt      32m         Normal    Scheduled                 pod/kubevirt-eec7dac5c260dc1022c35e1cc9fb77f87bce3319-jobwwwfncvxnv   Successfully assigned kubevirt/kubevirt-eec7dac5c260dc1022c35e1cc9fb77f87bce3319-jobwwwfncvxnv to node02
kubevirt      32m         Normal    SuccessfulCreate          job/kubevirt-eec7dac5c260dc1022c35e1cc9fb77f87bce3319-jobwwwfn        Created pod: kubevirt-eec7dac5c260dc1022c35e1cc9fb77f87bce3319-jobwwwfncvxnv
kubevirt      32m         Warning   Unhealthy                 pod/virt-handler-xvjwt                                                Liveness probe failed: Get https://10.244.196.137:8443/healthz: dial tcp 10.244.196.137:8443: connect: invalid argument
kubevirt      32m         Normal    Pulled                    pod/kubevirt-eec7dac5c260dc1022c35e1cc9fb77f87bce3319-jobwwwfncvxnv   Container image "registry:5000/kubevirt/virt-operator@sha256:7fda75c254f9db48da44c87603357b256fd3aa5d889cb192f482352e4dc5ffde" already present on machine
kubevirt      32m         Normal    Started                   pod/kubevirt-eec7dac5c260dc1022c35e1cc9fb77f87bce3319-jobwwwfncvxnv   Started container install-strategy-upload
kubevirt      32m         Normal    Created                   pod/kubevirt-eec7dac5c260dc1022c35e1cc9fb77f87bce3319-jobwwwfncvxnv   Created container install-strategy-upload
kubevirt      32m         Normal    Completed                 job/kubevirt-eec7dac5c260dc1022c35e1cc9fb77f87bce3319-jobwwwfn        Job completed
kubevirt      32m         Normal    Scheduled                 pod/virt-api-7869dbddfc-tplq6                                         Successfully assigned kubevirt/virt-api-7869dbddfc-tplq6 to node01
kubevirt      32m         Normal    SuccessfulCreate          replicaset/virt-api-7869dbddfc                                        Created pod: virt-api-7869dbddfc-k264x
kubevirt      32m         Normal    SuccessfulCreate          replicaset/virt-api-7869dbddfc                                        Created pod: virt-api-7869dbddfc-tplq6
kubevirt      32m         Normal    Scheduled                 pod/virt-api-7869dbddfc-k264x                                         Successfully assigned kubevirt/virt-api-7869dbddfc-k264x to node02
kubevirt      32m         Normal    ScalingReplicaSet         deployment/virt-api                                                   Scaled up replica set virt-api-7869dbddfc to 2
kubevirt      31m         Normal    Created                   pod/virt-api-7869dbddfc-tplq6                                         Created container virt-api
kubevirt      31m         Normal    Pulled                    pod/virt-api-7869dbddfc-tplq6                                         Container image "registry:5000/kubevirt/virt-api@sha256:efa8ed0e96179e6b2fb2b17ec740ea9abddce64a7ec1f17bd01a5121df4802ef" already present on machine
kubevirt      31m         Normal    Started                   pod/virt-api-7869dbddfc-k264x                                         Started container virt-api
kubevirt      31m         Normal    Created                   pod/virt-api-7869dbddfc-k264x                                         Created container virt-api
kubevirt      31m         Normal    Pulled                    pod/virt-api-7869dbddfc-k264x                                         Container image "registry:5000/kubevirt/virt-api@sha256:efa8ed0e96179e6b2fb2b17ec740ea9abddce64a7ec1f17bd01a5121df4802ef" already present on machine
kubevirt      31m         Normal    Started                   pod/virt-api-7869dbddfc-tplq6                                         Started container virt-api
kubevirt      31m         Normal    NoPods                    poddisruptionbudget/virt-controller-pdb                               No matching pods found
kubevirt      31m         Normal    Scheduled                 pod/virt-handler-jpn5n                                                Successfully assigned kubevirt/virt-handler-jpn5n to node01
kubevirt      31m         Normal    Scheduled                 pod/virt-controller-7c9666d597-lrd7t                                  Successfully assigned kubevirt/virt-controller-7c9666d597-lrd7t to node01
kubevirt      31m         Normal    SuccessfulCreate          replicaset/virt-controller-7c9666d597                                 Created pod: virt-controller-7c9666d597-lrd7t
kubevirt      31m         Normal    SuccessfulCreate          daemonset/virt-handler                                                Created pod: virt-handler-jp2rh
kubevirt      31m         Normal    ScalingReplicaSet         deployment/virt-controller                                            Scaled up replica set virt-controller-7c9666d597 to 2
kubevirt      31m         Normal    Scheduled                 pod/virt-controller-7c9666d597-qzzc7                                  Successfully assigned kubevirt/virt-controller-7c9666d597-qzzc7 to node02
kubevirt      31m         Normal    Scheduled                 pod/virt-handler-jp2rh                                                Successfully assigned kubevirt/virt-handler-jp2rh to node02
kubevirt      31m         Normal    SuccessfulCreate          replicaset/virt-controller-7c9666d597                                 Created pod: virt-controller-7c9666d597-qzzc7
kubevirt      31m         Normal    SuccessfulCreate          daemonset/virt-handler                                                Created pod: virt-handler-jpn5n
kubevirt      31m         Normal    Created                   pod/virt-handler-jp2rh                                                Created container virt-handler
kubevirt      31m         Normal    Pulled                    pod/virt-controller-7c9666d597-lrd7t                                  Container image "registry:5000/kubevirt/virt-controller@sha256:8e2360c20f08c6f2276f56b2c110c2e79f4201cdcfc35ee37cd3de7e98f1f649" already present on machine
kubevirt      31m         Normal    Started                   pod/virt-controller-7c9666d597-qzzc7                                  Started container virt-controller
kubevirt      31m         Normal    Created                   pod/virt-controller-7c9666d597-qzzc7                                  Created container virt-controller
kubevirt      31m         Normal    Pulled                    pod/virt-controller-7c9666d597-qzzc7                                  Container image "registry:5000/kubevirt/virt-controller@sha256:8e2360c20f08c6f2276f56b2c110c2e79f4201cdcfc35ee37cd3de7e98f1f649" already present on machine
kubevirt      31m         Normal    Created                   pod/virt-handler-jpn5n                                                Created container virt-handler
kubevirt      31m         Normal    Pulled                    pod/virt-handler-jpn5n                                                Container image "registry:5000/kubevirt/virt-handler@sha256:efa653f6840f4c9d19f6918fe7e6b5e51ce17ea3dc94c98f2bc4e5d7baa4de40" already present on machine
kubevirt      31m         Normal    Started                   pod/virt-handler-jp2rh                                                Started container virt-handler
kubevirt      31m         Normal    Pulled                    pod/virt-handler-jp2rh                                                Container image "registry:5000/kubevirt/virt-handler@sha256:efa653f6840f4c9d19f6918fe7e6b5e51ce17ea3dc94c98f2bc4e5d7baa4de40" already present on machine
kubevirt      31m         Normal    Started                   pod/virt-handler-jpn5n                                                Started container virt-handler
kubevirt      31m         Normal    Created                   pod/virt-controller-7c9666d597-lrd7t                                  Created container virt-controller
kubevirt      31m         Normal    Started                   pod/virt-controller-7c9666d597-lrd7t                                  Started container virt-controller
kubevirt      31m         Normal    LeaderElection            endpoints/virt-controller                                             virt-controller-7c9666d597-qzzc7 became leader
default       30m         Normal    CreateResourceSuccess     cdi/cdi                                                               Successfully ensured upload proxy route exists
kubevirt      30m         Normal    SuccessfulCreate          job/kubevirt-9b14fe4e6c05b089ff7b099a9c3f5687ad8cd3b0-jobbnp6m        Created pod: kubevirt-9b14fe4e6c05b089ff7b099a9c3f5687ad8cd3b0-jobbnp6mc4kzn
kubevirt      30m         Normal    Scheduled                 pod/kubevirt-9b14fe4e6c05b089ff7b099a9c3f5687ad8cd3b0-jobbnp6mc4kzn   Successfully assigned kubevirt/kubevirt-9b14fe4e6c05b089ff7b099a9c3f5687ad8cd3b0-jobbnp6mc4kzn to node01
kubevirt      30m         Normal    Pulled                    pod/kubevirt-9b14fe4e6c05b089ff7b099a9c3f5687ad8cd3b0-jobbnp6mc4kzn   Container image "registry:5000/kubevirt/virt-operator:devel_alt" already present on machine
kubevirt      30m         Normal    Started                   pod/kubevirt-9b14fe4e6c05b089ff7b099a9c3f5687ad8cd3b0-jobbnp6mc4kzn   Started container install-strategy-upload
kubevirt      30m         Normal    Created                   pod/kubevirt-9b14fe4e6c05b089ff7b099a9c3f5687ad8cd3b0-jobbnp6mc4kzn   Created container install-strategy-upload
kubevirt      30m         Normal    Completed                 job/kubevirt-9b14fe4e6c05b089ff7b099a9c3f5687ad8cd3b0-jobbnp6m        Job completed
kubevirt      30m         Normal    Killing                   pod/virt-handler-jp2rh                                                Stopping container virt-handler
kubevirt      30m         Normal    SuccessfulDelete          daemonset/virt-handler                                                Deleted pod: virt-handler-jp2rh
kubevirt      30m         Normal    SuccessfulCreate          daemonset/virt-handler                                                Created pod: virt-handler-s6bbv
kubevirt      30m         Normal    Scheduled                 pod/virt-handler-s6bbv                                                Successfully assigned kubevirt/virt-handler-s6bbv to node02
kubevirt      30m         Normal    Started                   pod/virt-handler-s6bbv                                                Started container virt-handler
kubevirt      30m         Normal    Pulled                    pod/virt-handler-s6bbv                                                Container image "registry:5000/kubevirt/virt-handler:devel_alt" already present on machine
kubevirt      30m         Normal    Created                   pod/virt-handler-s6bbv                                                Created container virt-handler
kubevirt      29m         Normal    Killing                   pod/virt-handler-jpn5n                                                Stopping container virt-handler
kubevirt      29m         Normal    SuccessfulDelete          daemonset/virt-handler                                                Deleted pod: virt-handler-jpn5n
kubevirt      29m         Normal    Scheduled                 pod/virt-handler-jlndh                                                Successfully assigned kubevirt/virt-handler-jlndh to node01
kubevirt      29m         Normal    SuccessfulCreate          daemonset/virt-handler                                                Created pod: virt-handler-jlndh
kubevirt      29m         Normal    Pulled                    pod/virt-handler-jlndh                                                Container image "registry:5000/kubevirt/virt-handler:devel_alt" already present on machine
kubevirt      29m         Normal    Created                   pod/virt-handler-jlndh                                                Created container virt-handler
kubevirt      29m         Normal    Started                   pod/virt-handler-jlndh                                                Started container virt-handler
kubevirt      29m         Normal    ScalingReplicaSet         deployment/virt-controller                                            Scaled up replica set virt-controller-5cc84d7f65 to 1
kubevirt      29m         Normal    Scheduled                 pod/virt-controller-5cc84d7f65-lkr9n                                  Successfully assigned kubevirt/virt-controller-5cc84d7f65-lkr9n to node01
kubevirt      29m         Normal    SuccessfulCreate          replicaset/virt-controller-5cc84d7f65                                 Created pod: virt-controller-5cc84d7f65-lkr9n
kubevirt      29m         Normal    Pulled                    pod/virt-controller-5cc84d7f65-lkr9n                                  Container image "registry:5000/kubevirt/virt-controller:devel_alt" already present on machine
kubevirt      29m         Normal    Created                   pod/virt-controller-5cc84d7f65-lkr9n                                  Created container virt-controller
kubevirt      29m         Normal    Started                   pod/virt-controller-5cc84d7f65-lkr9n                                  Started container virt-controller
kubevirt      28m         Normal    Scheduled                 pod/virt-controller-5cc84d7f65-ht8xz                                  Successfully assigned kubevirt/virt-controller-5cc84d7f65-ht8xz to node02
kubevirt      28m         Normal    SuccessfulCreate          replicaset/virt-controller-5cc84d7f65                                 Created pod: virt-controller-5cc84d7f65-ht8xz
kubevirt      28m         Normal    ScalingReplicaSet         deployment/virt-controller                                            Scaled down replica set virt-controller-7c9666d597 to 1
kubevirt      28m         Normal    SuccessfulDelete          replicaset/virt-controller-7c9666d597                                 Deleted pod: virt-controller-7c9666d597-lrd7t
kubevirt      28m         Normal    Killing                   pod/virt-controller-7c9666d597-lrd7t                                  Stopping container virt-controller
kubevirt      28m         Normal    ScalingReplicaSet         deployment/virt-controller                                            Scaled up replica set virt-controller-5cc84d7f65 to 2
kubevirt      28m         Normal    Created                   pod/virt-controller-5cc84d7f65-ht8xz                                  Created container virt-controller
kubevirt      28m         Warning   Unhealthy                 pod/virt-controller-7c9666d597-lrd7t                                  Readiness probe failed: Get https://10.244.196.140:8443/leader: dial tcp 10.244.196.140:8443: connect: invalid argument
kubevirt      28m         Normal    Pulled                    pod/virt-controller-5cc84d7f65-ht8xz                                  Container image "registry:5000/kubevirt/virt-controller:devel_alt" already present on machine
kubevirt      28m         Normal    Started                   pod/virt-controller-5cc84d7f65-ht8xz                                  Started container virt-controller
kubevirt      28m         Normal    SuccessfulDelete          replicaset/virt-controller-7c9666d597                                 Deleted pod: virt-controller-7c9666d597-qzzc7
kubevirt      28m         Normal    ScalingReplicaSet         deployment/virt-controller                                            Scaled down replica set virt-controller-7c9666d597 to 0
kubevirt      28m         Normal    Killing                   pod/virt-controller-7c9666d597-qzzc7                                  Stopping container virt-controller
kubevirt      28m         Normal    ScalingReplicaSet         deployment/virt-api                                                   Scaled up replica set virt-api-6cc5c844cc to 1
kubevirt      28m         Normal    SuccessfulCreate          replicaset/virt-api-6cc5c844cc                                        Created pod: virt-api-6cc5c844cc-pmc2j
kubevirt      28m         Normal    Scheduled                 pod/virt-api-6cc5c844cc-pmc2j                                         Successfully assigned kubevirt/virt-api-6cc5c844cc-pmc2j to node01
kubevirt      28m         Normal    Created                   pod/virt-api-6cc5c844cc-pmc2j                                         Created container virt-api
kubevirt      28m         Normal    Pulled                    pod/virt-api-6cc5c844cc-pmc2j                                         Container image "registry:5000/kubevirt/virt-api:devel_alt" already present on machine
kubevirt      28m         Normal    Started                   pod/virt-api-6cc5c844cc-pmc2j                                         Started container virt-api
kubevirt      28m         Normal    LeaderElection            endpoints/virt-controller                                             virt-controller-5cc84d7f65-ht8xz became leader
kubevirt      27m         Normal    ScalingReplicaSet         deployment/virt-api                                                   Scaled up replica set virt-api-6cc5c844cc to 2
kubevirt      27m         Normal    SuccessfulDelete          replicaset/virt-api-7869dbddfc                                        Deleted pod: virt-api-7869dbddfc-tplq6
kubevirt      27m         Normal    Killing                   pod/virt-api-7869dbddfc-tplq6                                         Stopping container virt-api
kubevirt      27m         Normal    Scheduled                 pod/virt-api-6cc5c844cc-74cll                                         Successfully assigned kubevirt/virt-api-6cc5c844cc-74cll to node02
kubevirt      27m         Normal    ScalingReplicaSet         deployment/virt-api                                                   Scaled down replica set virt-api-7869dbddfc to 1
kubevirt      27m         Normal    SuccessfulCreate          replicaset/virt-api-6cc5c844cc                                        Created pod: virt-api-6cc5c844cc-74cll
kubevirt      27m         Normal    Started                   pod/virt-api-6cc5c844cc-74cll                                         Started container virt-api
kubevirt      27m         Normal    Pulled                    pod/virt-api-6cc5c844cc-74cll                                         Container image "registry:5000/kubevirt/virt-api:devel_alt" already present on machine
kubevirt      27m         Normal    Created                   pod/virt-api-6cc5c844cc-74cll                                         Created container virt-api
kubevirt      27m         Normal    Killing                   pod/virt-api-7869dbddfc-k264x                                         Stopping container virt-api
kubevirt      27m         Normal    SuccessfulDelete          replicaset/virt-api-7869dbddfc                                        Deleted pod: virt-api-7869dbddfc-k264x
kubevirt      27m         Normal    ScalingReplicaSet         deployment/virt-api                                                   Scaled down replica set virt-api-7869dbddfc to 0
kubevirt      17m         Normal    Killing                   pod/virt-handler-jlndh                                                Stopping container virt-handler
kubevirt      17m         Normal    Killing                   pod/virt-handler-s6bbv                                                Stopping container virt-handler
kubevirt      17m         Normal    Killing                   pod/virt-api-6cc5c844cc-pmc2j                                         Stopping container virt-api
kubevirt      17m         Normal    Killing                   pod/virt-controller-5cc84d7f65-ht8xz                                  Stopping container virt-controller
kubevirt      17m         Normal    Killing                   pod/virt-controller-5cc84d7f65-lkr9n                                  Stopping container virt-controller
kubevirt      17m         Normal    Killing                   pod/virt-api-6cc5c844cc-74cll                                         Stopping container virt-api
kubevirt      17m         Warning   Unhealthy                 pod/virt-controller-5cc84d7f65-lkr9n                                  Liveness probe failed: Get https://10.244.196.143:8443/healthz: dial tcp 10.244.196.143:8443: connect: connection refused
kubevirt      17m         Warning   Unhealthy                 pod/virt-api-6cc5c844cc-74cll                                         Readiness probe failed: Get https://10.244.140.87:8443/apis/subresources.kubevirt.io/v1/healthz: dial tcp 10.244.140.87:8443: connect: connection refused
kubevirt      17m         Warning   Unhealthy                 pod/virt-handler-jlndh                                                Readiness probe failed: Get https://10.244.196.142:8443/healthz: dial tcp 10.244.196.142:8443: connect: invalid argument
kubevirt      17m         Normal    Scheduled                 pod/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job82k5lmrb57   Successfully assigned kubevirt/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job82k5lmrb57 to node02
kubevirt      17m         Normal    SuccessfulCreate          job/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job82k5l        Created pod: kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job82k5lmrb57
kubevirt      17m         Warning   Unhealthy                 pod/virt-handler-s6bbv                                                Readiness probe failed: Get https://10.244.140.85:8443/healthz: dial tcp 10.244.140.85:8443: connect: invalid argument
kubevirt      17m         Normal    Started                   pod/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job82k5lmrb57   Started container install-strategy-upload
kubevirt      17m         Normal    Created                   pod/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job82k5lmrb57   Created container install-strategy-upload
kubevirt      17m         Normal    Pulled                    pod/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job82k5lmrb57   Container image "registry:5000/kubevirt/virt-operator@sha256:7fda75c254f9db48da44c87603357b256fd3aa5d889cb192f482352e4dc5ffde" already present on machine
kubevirt      17m         Normal    Completed                 job/kubevirt-dea312b9a923fc8be804043b5d24f7bdf88d8845-job82k5l        Job completed
kubevirt      17m         Normal    ScalingReplicaSet         deployment/virt-api                                                   Scaled up replica set virt-api-6747df4d4b to 2
kubevirt      17m         Normal    Scheduled                 pod/virt-api-6747df4d4b-7qn92                                         Successfully assigned kubevirt/virt-api-6747df4d4b-7qn92 to node02
kubevirt      17m         Normal    SuccessfulCreate          replicaset/virt-api-6747df4d4b                                        Created pod: virt-api-6747df4d4b-w6txw
kubevirt      17m         Normal    SuccessfulCreate          replicaset/virt-api-6747df4d4b                                        Created pod: virt-api-6747df4d4b-7qn92
kubevirt      17m         Normal    Scheduled                 pod/virt-api-6747df4d4b-w6txw                                         Successfully assigned kubevirt/virt-api-6747df4d4b-w6txw to node01
kubevirt      17m         Normal    NoPods                    poddisruptionbudget/virt-api-pdb                                      No matching pods found
kubevirt      17m         Normal    Started                   pod/virt-api-6747df4d4b-7qn92                                         Started container virt-api
kubevirt      17m         Normal    Created                   pod/virt-api-6747df4d4b-w6txw                                         Created container virt-api
kubevirt      17m         Normal    Pulled                    pod/virt-api-6747df4d4b-w6txw                                         Container image "registry:5000/kubevirt/virt-api@sha256:efa8ed0e96179e6b2fb2b17ec740ea9abddce64a7ec1f17bd01a5121df4802ef" already present on machine
kubevirt      17m         Normal    Created                   pod/virt-api-6747df4d4b-7qn92                                         Created container virt-api
kubevirt      17m         Normal    Pulled                    pod/virt-api-6747df4d4b-7qn92                                         Container image "registry:5000/kubevirt/virt-api@sha256:efa8ed0e96179e6b2fb2b17ec740ea9abddce64a7ec1f17bd01a5121df4802ef" already present on machine
kubevirt      17m         Normal    Started                   pod/virt-api-6747df4d4b-w6txw                                         Started container virt-api
kubevirt      16m         Normal    Scheduled                 pod/virt-handler-5m6z6                                                Successfully assigned kubevirt/virt-handler-5m6z6 to node01
kubevirt      16m         Normal    Scheduled                 pod/virt-controller-694b49b67d-62t98                                  Successfully assigned kubevirt/virt-controller-694b49b67d-62t98 to node02
kubevirt      16m         Normal    ScalingReplicaSet         deployment/virt-controller                                            Scaled up replica set virt-controller-694b49b67d to 2
kubevirt      16m         Normal    SuccessfulCreate          daemonset/virt-handler                                                Created pod: virt-handler-5m6z6
kubevirt      16m         Normal    SuccessfulCreate          daemonset/virt-handler                                                Created pod: virt-handler-lct2p
kubevirt      16m         Normal    Scheduled                 pod/virt-controller-694b49b67d-2sknj                                  Successfully assigned kubevirt/virt-controller-694b49b67d-2sknj to node01
kubevirt      16m         Normal    Scheduled                 pod/virt-handler-lct2p                                                Successfully assigned kubevirt/virt-handler-lct2p to node02
kubevirt      16m         Normal    SuccessfulCreate          replicaset/virt-controller-694b49b67d                                 Created pod: virt-controller-694b49b67d-2sknj
kubevirt      16m         Normal    NoPods                    poddisruptionbudget/virt-controller-pdb                               No matching pods found
